PairID;TWord;SContext;Word;Freq_Brulex;Freq_lexique_FastSearch;Freq_lexique_Frantext;CVstruct;V_pair;Pb;Subject;Similarity_Subject_Word;Verb;Similarity_Verb_Word;Similarity_Subject_Verb;Carrier;Phrase;Translation (à vérifier absolument !);Nbsylls
1;Word1;Context1;bac;269;10035;11.29;CVC;a/E;;étudiant;0.202;préparer;0.261;262;L'étudiant a préparé le;L'étudiant a préparé le bac.;The student has prepared the tray;9
2;Word1;Context1;bâche;246;438;7.32;CVC;a/E;;polyéthylène;0.397;plastifier;0.389;422;Le polyéthylène a plastifié la;Le polyéthylène a plastifié la bâche.;The worker laminated the tarpaulin;11
6;Word1;Context1;balle;357;6722;60.84;CVC;a/E;;joueur;0.374;dévier;0.334;172;Le joueur a dévié la;Le joueur a dévié la balle.;The player deflected the ball;7
10;Word1;Context1;datte;222;272;2.19;CVC;a/E;;amande;0.487;fourrer;0.373;467;L’amande fourre une;L’amande fourre une datte.;The chief pitted a date;5
11;Word1;Context1;gare;258;9574;53.55;CVC;a/E;;train;0.707;desservir;0.503;371;Le train dessert une;Le train dessert une gare.;Workers electrified a station;6
12;Word1;Context1;mâche;69;218;1.58;CVC;a/E;;cuisinier;0.053;assaisonner;0.413;92;Le cuisinier a assaisonné cette;Le cuisinier a assaisonné cette mâche.;The cook seasoned this lamb's lettuce;10
13;Word1;Context1;mare;290;1814;7.68;CVC;a/E;;crapaud;0.413;coasser;0.336;494;Les crapauds coassent près de leur;Les crapauds coassent près de leur mare.;Toads croak near their pond;9
15;Word1;Context1;masse;398;14822;123.33;CVC;a/E;;physicien;0.202;mesurer;0.39;161;Le physicien mesurera la;Le physicien mesurera la masse.;The physicist will measure the mass.;9
16;Word1;Context1;nage;257;1522;6.33;CVC;a/E;;entraîneur;0.161;chronométrer;0.316;149;L'entraîneur a chronométré la;L'entraîneur a chronométré la nage.;The coach has timed the swim.;10
17;Word1;Context1;pagne;218;187;1.19;CVC;a/E;;couturière;0.288;broder;0.402;474;Les couturières ont brodé le;Les couturières ont brodé le pagne.;The natives are draped with a loincloth;9
20;Word1;Context1;panne;283;4513;10.16;CVC;a/E;;garagiste;0.373;Réparer;0.476;424;Le garagiste répare une;Le garagiste répare une panne.;The mechanic repairs a breakdown;8
21;Word1;Context1;salle;418;47286;145.49;CVC;a/E;;double-vitrage;0.146;insonoriser;0.396;205;Le double-vitrage insonorise la;Le double-vitrage insonorise la salle.;The double-glazed windows soundproof the room;11
22;Word1;Context1;vanne;209;2814;6.97;CVC;a/E;;plombier;0.14;raccorder;0.315;117;Le plombier a raccordé la;Le plombier a raccordé la vanne.;The plumber connected the valve.;10
23;Word1;Context1;bal;326;3401;17.2;CVC;a/O;;musique;0.3;rythmer;0.288;0.13;La musique a rythmé le;La musique a rythmé le bal.;The music punctuated the ball.;10
24;Word1;Context1;bar;333;15317;36.29;CVC;a/O;;cocktails;0.451;siroter;0.454;442;Les cocktails sont sirotés près du;Les cocktails sont sirotés près du bar.;Tourists have restored near the bar;10
27;Word1;Context1;cale;246;1284;8.71;CVC;a/O;;pirate;0.164;éperonner;0.308;227;Les pirates ont éperonné la;Les pirates ont éperonné la cale.;The pirates spurred the hold.;10
28;Word1;Context1;date;371;137621;73.23;CVC;a/O;;invitation;0.128;préciser;0.323;148;L’invitation a précisé la;L’invitation a précisé la date.;The invitation specified the date.;10
29;Word1;Context1;gamme;286;21153;15.38;CVC;a/O;;marque;0.42;concevoir;0.395;232;La marque a conçu la nouvelle;La marque a conçu la nouvelle gamme.;The brand has designed a new range.;10
